আছ
আছে
আসামিদের
আত্মীয়স্বজনকে 
আত্মরক্ষা আত্ম+রক্ষা
চলা চল+া
চলুন চল+ুন
চরে চর+ে
চর্চায় চর্চা+য়
চটের চট+ের
চ্যালেঞ্জিং চ্যালেঞ্জ+িং
চ্যান্সেলরস চ্যান্সেলর+স
দীক্ষা দীক্ষা
দীপন দীপন
দীপ্তিসহ দীপ্তি+সহ
দৌড় দৌড়
দাবিয়ে দাব+িয়ে
দাদীর দাদী+র
দাওয়াতকারী দাওয়াত+কার+ী
দাঙ্গা দাঙ্গা
দাঙ্গার দাঙ্গা+র
দারিদ্র্যই দারিদ্র্য+ই
দায় দায়
দায়ে দায়+ে
দায়িত্বপরায়ণ দায়িত্ব+পরায়ণ
দায়দায়িত্ব দায়+দায়িত্ব
দায়দায়িত্বটা দায়+দায়িত্ব+টা
দাড়ির দাড়ি+র
দেখে দেখ+ে
দেখেন দেখ+ে+ন
দেখি দেখ+ি
দেব দেব
দেবেন দেব+ে+ন
দেবরাজ দেব+রাজ
দেক দেক
দেশজুড়ে দেশ+জুড়ে
দেশগুলোর দেশ+গুলো+র
দেশটাই দেশ+টা+ই
দেউলিয়া দেউলিয়া
দিবেন দিব+ে+ন, দিব+েন
দিচ্ছেন দি+চ্ছ+ে+ন, দি+চ্ছে+ন
দিকে দিক+ে
দিকগুলো দিক+গুলো
দিকগুলোর দিক+গুলো+র
দখলকারী দখল+কার+ী
দোস্ত দোস্ত
দৃষ্টিসুখকর দৃষ্টি+সুখ+কর
দৃঢ়তা দৃঢ়+তা
দুঃখ দুঃখ
দুঃখবোধ দুঃখ+বোধ
দুধকুমার দুধ+কুমার
দুসাধ্য দু+সাধ্য
দুস্বপ্নে দু+স্বপ্ন+ে
দুবারও দু+বার+ও
দুল দুল
দুর্বোধ্য দুর্+বোধ্য
দুর্দশা দুর্+দশা
দুর্নীতিচর্চার দুর্নীতি+চর্চা+র
দূরত্ব দূরত্ব
দক্ষিণ দক্ষিণ
দক্ষিণপন্থিদের দক্ষিণ+পন্থি+দের
দলত্যাগকারী দল+ত্যাগ+কার+ী
দলনিরপেক্ষভাবে দল+নিরপেক্ষ+ভাব+ে
দমন দমন
দপ্তরে দপ্তর+ে
দ্বীপে দ্বীপ+ে
দ্বিধাবিভক্তি দ্বিধা+বিভক্ত+ি
দ্বিমুখী দ্বি+মুখ+ী
দ্বন্দ্ব দ্বন্দ্ব
দ্রুততার দ্রুত+তা+র
দ্রুতযান দ্রুত+যান
দ্রব্য দ্রব্য
এজলাস এজলাস
এখনোই এখন+ো+ই
এসিডসন্ত্রাস এসিড+সন্ত্রাস
এহনো এহন+ো
একাই একা+ই
একটি এক+টি
এক্সচেঞ্জের এক্স+চেঞ্জ+ের
এলাকা এলাকা
এলাকাসংলগ্ন এলাকা+সংলগ্ন
এলো এলো
এমনকি এমন+কি
এটিও এটি+ও
থাইকা থাইক+া
থাকা থাক+া
থাকায় থাক+া+য়
থাকল থাক+ল
থামানোর থাম+া+নো+র
গৌতম গৌতম
গৌরপদ গৌর+পদ
গাছ গাছ
গাধার গাধা+র
গানসমৃদ্ধ গান+সমৃদ্ধ
গায়েন গায়েন, গা+য়েন
গাড়িতে গাড়ি+তে
গাড়িবহরের গাড়ি+বহর+ের
গেছে গে+ছ+ে
গেজেটের গেজেট+ের
গেটে গেট+ে
গণিতবিদরা গণিত+বিদ+রা
গণজাগরণের গণ+জাগরণ+ের
গণস্বাস্থ্য গণ+স্বাস্থ্য
গণকবরস্থানের গণ+কবর+স্থান+ের
গণমাধ্যম গণ+মাধ্যম
গণমাধ্যমেরও গণ+মাধ্যম+ের+ও
গোল গোল
গোলকমণি গোলক+মণি
গৃহকত্রী গৃহ+কত্রী
গতিসম্পন্ন গতি+সম্পন্ন
গতিপ্রকৃতি গতি+প্রকৃতি
গতিরোধ গতি+রোধ
গুঁজে গুঁজ+ে
গুণগত গুণ+গত
গুণ্ডা গুণ্ডা
গুড গুড
গুলিসহ গুলি+সহ
গুপ্ত গুপ্ত
গুড়ের গুড়+ের
গবেষণা গবেষণা
গহনাগুলোর গহনা+গুলো+র
গলাকাটা গলা+কাট+া
গলায় গলা+য়
গল্প গল্প
গরিব গরিব
গরিবরা গরিব+রা
গরু গরু
গর্তের গর্ত+ের
গর্বের গর্ব+ের
গঠনতন্ত্র গঠন+তন্ত্র
গড়াল গড়+া+ল
গড়টাও গড়+টা+ও
গ্যাসকূপের গ্যাস+কূপ+ের
গ্যাসক্ষেত্রটিকে গ্যাস+ক্ষেত্র+টি+কে
গ্রাহকদেরও গ্রাহক+দের+ও
গ্রাহককে গ্রাহক+কে
গ্রামীণব্যাংকের গ্রামীণ+ব্যাংক+ের
গ্রেটদের গ্রেট+দের
হীনম্মন্যতাবোধ হীন+ম্মন্য+তা+বোধ
হীনম্মন্যতাগুলো হীন+ম্মন্য+তা+গুলো
হাঁটাচলা হাঁট+া+চল+া
হাজির হাজির, হাজি+র 
হাসছেন হাস+ছে+ন
হাসলেও হাস+ল+ে+ও
হাতছানি হাত+ছানি
হাততালিতে হাত+তালি+তে
হাতুড়ে হাতুড়ে
হাতগুলো হাত+গুলো
হাইকমান্ডকে হাই+কমান্ড+কে
হামলা হামলা
হামলাকারীদের হামলা+কারী+দের
হামলাকারীরা হামলা+কারী+রা
হাওরের হাওর+ের
হারায় হার+া+য়
হাট হাট
হেঁটেছে হেঁট+ে+ছে
হিমমুকুট হিম+মুকুট
হোক হোক
হৃদয়হীনতা হৃদয়+হীন+তা
হৃদ্যতা হৃদ্য+তা
হতাশা হতাশ+া
হতাশায় হতাশ+া+য়
হতদরিদ্রের হত+দরিদ্র+ের
হত্যার হত্যা+র
হুঁশিয়ারবার্তাই হুঁশিয়ার+বার্তা+ই
হুমকিকে হুমকি+কে
হবেই হবে+ই
হচ্ছেন হচ্ছ+ে+ন
হইয়া হইয়া
হকার হকার
হরিজন হরি+জন
হরতাল হরতাল
ইতিহাসে ইতিহাস+ে
ইঞ্জিনিয়ারিং ইঞ্জিনিয়ার+িং
ইহকাল ইহ+কাল
ইমাম ইমাম
ইনিংসটিকে ইনিংস+টি+কে
ইনজুরিতেও ইনজুরি+তে+ও
ইনফরমেশনকে ইনফরমেশন+কে
ইনস্টিটিউশনাল ইনস্টিটিউশন+াল
ইনস্টিটিউটে ইনস্টিটিউট+ে
ইউনিফর্ম ইউনিফর্ম
ইউনিয়ন ইউনিয়ন
ইউনিয়নসহ ইউনিয়ন+সহ
যাতায়াতের যাতায়াত+ের
যাত্রা যাত্রা
যাবত যাবত
যাচ্ছি যা+চ্ছি, যা+চ্ছ+ি
যাহাতে যাহা+তে
যাইবার যা+ইব+ার
যানজটও যান+জট+ও
যানবাহন যান+বাহন
যেগুলো যে+গুলো
যেনতেন যেন+তেন
যোগাযোগমন্ত্রীকে যোগাযোগ+মন্ত্রী+কে
যুবা যুব+া
যুবধারা যুব+ধারা
যুগ যুগ
যুক্ত যুক্ত
যুক্তিই যুক্তি+ই
যথাসম্ভব যথা+সম্ভব
যথার্থ যথার্থ
কঁাপলে কঁাপ+লে
কীর্তিই কীর্তি+ই
কীটনাশক কীট+নাশ+ক
কৌশলে কৌশল+ে
কৌটাই কৌটা+ই
কাজ কাজ
কাদায় কাদা+য়
কালির কালি+র
কালোত্তীর্ণ কাল+উত্তীর্ণ
কামরেল কাম+রেল
কানন কানন
কাপ কাপ
কাপড় কাপড়
কাপড়গুলো কাপড়+গুলো
কারাবন্দি কারা+বন্দি
কারণে কারণ+ে
কারবার কার+বার
কারকে কারক+ে
কার্তিকে কার্তিক+ে
কার্ডও কার্ড+ও
কার্যকলাপ কার্য+কলাপ
কার্যক্ষেত্রে কার্য+ক্ষেত্র+ে
কাশি কাশি
কাটাই কাট+া+ই
কাটছাট কাট+ছাট
কাটত কাট+ত
কাটতে কাট+তে
কাউন্সিলকে কাউন্সিল+কে
কেঁৗশলী কেঁৗশল+ী
কেবলের কেবল+ের
কেনেন কেন+ে+ন
কেন্দ্র কেন্দ্র
কেন্দ্রিভূত কেন্দ্রি+ভূত
কেড়ে কেড়+ে
কষ্টে কষ্ট+ে
কিছুকেই কিছু+কে+ই
কিছুরই কিছু+র+ই
কিলোমিটারেরও কিলো+মিটার+ের+ও
কিনছে কিন+ছে, কিন+ছ+ে
কিউতে কিউ+তে
কজন ক+জন
কোমর কোমর
কোর্সগুলো কোর্স+গুলো
কোর্ট কোর্ট
কোটবাড়ী কোট+বাড়+ী
কোয়ার্টার কোয়ার্টার
কৃষিপণ্যের কৃষি+পণ্য+ের
কৃতিত্বে কৃতিত্ব+ে
কৃচ্ছ্রসাধন কৃচ্ছ্র+সাধন
কসরত কসরত
কুচকাওয়াজে কুচকাওয়াজ+ে
কুদরত কুদরত
কুয়ার কুয়া+র
কুয়ায় কুয়া+য়
কুড়ি কুড়ি
কূটনীতিকপাড়ায় কূট+নীতি+ক+পাড়া+য়
কবিরা কবি+রা
কদাচিত্ কদাচিত্
কথা কথা
কথাকে কথা+কে
কথার কথা+র
কথায় কথা+য়
কলাপাড়া কলা+পাড়া
কলেজছাত্রসহ কলেজ+ছাত্র+সহ
কলেজে কলেজ+ে
কলেজকে কলেজ+কে
কলুষমুক্ত কলুষ+মুক্ত
কলমানির কলমানি+র
কলঙ্ক কলঙ্ক
কমানোর কম+া+নো+র
কমানোরও কম+া+নো+র+ও
কমার কম+া+র
কমিশন কমিশন
কমিশনারসহ কমিশন+ার+সহ
কমিটিগুলোকে কমিটি+গুলো+কে
কম্পাউন্ডে কম্পাউন্ড+ে
কপি কপি
কঙ্কালের কঙ্কাল+ের
করাত করাত, কর+া+ত
করান কর+া+ন
করানোয় কর+া+নো+য়
করছি কর+ছি, কর+ছ+ি
করের কর+ের
করতই কর+ত+ই
করুন কর+ুন
কর্তৃর্ত্বকে কর্তৃর্ত্ব+কে
কর্ম কর্ম
কর্মীদেরই কর্ম+ী+দের+ই
কর্মস্থল কর্ম+স্থল
কর্মকর্তারও কর্ম+কর্তা+র+ও
ক্ষতি ক্ষতি
ক্ষতির ক্ষতি+র
ক্ষুধা ক্ষুধা
ক্ষয়ক্ষতির ক্ষয়+ক্ষতি+র
ক্ষ্যাপাটে ক্ষ্যাপা+টে
ক্যাফেগুলো ক্যাফে+গুলো
ক্যাডাররাই ক্যাডার+রা+ই
ক্যান্সারসহ ক্যান্সার+সহ
ক্লাসরুম ক্লাস+রুম
ক্লাবেরই ক্লাব+ের+ই
ক্রীড়া ক্রীড়া
ক্রীড়ানক ক্রীড়া+নক
ক্রিয়া ক্রিয়া
ক্রসফায়ার ক্রস+ফায়ার
ক্রমবর্ধনশীল ক্রম+বর্ধন+শীল
লীগবিরোধী লীগ+বি+রোধ+ী
লাঘবের লাঘব+ের
লাফিয়ে লাফ+িয়ে
লাফগুলো লাফ+গুলো
লাবণ্যের লাবণ্য+ের
লাগা লাগ+া
লাগাব লাগ+া+ব
লাগিয়ে লাগ+িয়ে
লাইভস্টক লাইভ+স্টক
লাইনে লাইন+ে
লাল লাল
লালমাথা লাল+মাথা
লেখনিতে লেখন+ি+তে
লেবুছড়ি লেবু+ছড়ি
লিভারে লিভার+ে
লিগেরই লিগ+ের+ই
লিগেরও লিগ+ের+ও
লোহারপাড়া লোহা+র+পাড়া
লোকজনের লোক+জন+ের
লোকজনও লোক+জন+ও
লোকসাহিত্যে লোক+সাহিত্য+ে
লোন লোন
লুফে লুফ+ে
লগ্নি লগ্নি
লড়বে লড়+বে, লড়+ব+ে
মৌমাছিদের মৌ+মাছি+দের
মাসে মাস+ে
মাতালেন মাত+া+ল+ে+ন
মাতৃভাষাকে মাতৃ+ভাষা+কে
মাত্রার মাত্রা+র
মাদুর মাদুর
মাদ্রাসাছাত্রী মাদ্রাসা+ছাত্র+ী
মাদ্রাসাছাত্রদের মাদ্রাসা+ছাত্র+দের
মাদ্রাসার মাদ্রাসা+র
মাথা মাথা
মাথাব্যথার মাথা+ব্যথা+র
মাথায় মাথা+য়
মাইকিংয়ের মাইক+িং+য়ের
মাইক্রোর মাইক্রো+র
মালে মাল+ে
মালিকদের মালিক+দের
মামলা মামলা
মানি মানি
মানুষ মানুষ
মারামারি মার+া+মার+ি
মারছে মার+ছে
মারণ মারণ
মাঝামাঝিতে মাঝা+মাঝি+তে
মাঝেমধ্যে মাঝ+ে+মধ্য+ে
মাঝেরছড়া মাঝের+ছড়া
মাঠেও মাঠ+ে+ও
মাঠবিষয়ক মাঠ+বিষয়+ক
মায়াকে মায়া+কে
মায়ার মায়া+র
মায়েরই মা+য়ের+ই
মধ্যভাগে মধ্য+ভাগ+ে
মধ্যে মধ্য+ে
মধ্যমাঠে মধ্য+মাঠ+ে
মেজাজটাই মেজাজ+টা+ই
মেসেজটি মেসেজ+টি
মেইলটি মেইল+টি
মেলাকে মেলা+কে
মেলেনি মেলে+নি
মেম্বাররা মেম্বার+রা
মেরেছিল মেরে+ছিল
মেটানো মেটা+নো
মেয়েদেরই মেয়ে+দের+ই
মিছিলে মিছিল+ে
মিনিমাম মিনিমাম
মিটারে মিটার+ে
মিটারসহ মিটার+সহ
মজাই মজা+ই
মজুরির মজুর+ির
মজলিশ মজলিশ
মণিকোঠায় মণি+কোঠা+য়
মোহনীয় মোহনী+য়
মোকাবিলা মোকাবিলা
মোটা মোটা
মোটরসাইকেলে মোটর+সাইকেল+ে
মৃতদেহের মৃত+দেহ+ের
মসজিদকে মসজিদ+কে
মতোই মতো+ই
মত্স্য মত্স্য 
মুখ্য মুখ্য
মুণ্ডুটি মুণ্ডু+টি
মুদ্রাবাজারের মুদ্রা+বাজার+ের
মুহূর্তটি মুহূর্ত+টি
মুহ্যমান মুহ্য+মান
মুকুটটাও মুকুট+টা+ও
মুক্ত মুক্ত
মুক্তিযুদ্ধই মুক্তি+যুদ্ধ+ই
মুক্তবাণিজ্যের মুক্ত+বাণিজ্য+ের
মুট মুট
মুঠোতেই মুঠো+তে+ই
মূলমন্ত্রে মূল+মন্ত্র+ে
মূল্যবান মূল্য+বান
মূর্ত মূর্ত
মহাসমাবেশের মহা+সমাবেশ+ের
মহাপুলিশ মহা+পুলিশ
মহলের মহল+ের
মনমোহন মন+মোহন
মন্ত্রী মন্ত্রী
মন্ত্রীরাই মন্ত্রী+রা+ই
মন্ত্রণালয়ভিত্তিক মন্ত্রণালয়+ভিত্তি+ক
মন্ত্রণালয়গুলো মন্ত্রণালয়+গুলো
মন্দের মন্দ+ের
মন্থর মন্থর
মরিচসহ মরিচ+সহ
মরদেহের মর+দেহ+ের
মর্যাদাভিত্তিক মর্যাদা+ভিত্তিক
মর্যাদাপূর্ণ মর্যাদা+পূর্ণ
মঠে মঠ+ে
ম্যাজিক ম্যাজিক
ম্যাচের ম্যাচ+ের
ম্যানেজারও ম্যানেজ+ার+ও
ম্রিয়মাণ ম্রিয়+মাণ
নৈতিকভাবে নৈতিক+ভাব+ে
নীল নীল
নীলনকশা নীল+নকশা
নীরবতাই নীরব+তা+ই
নৌঘঁাটিতে নৌ+ঘঁাটি+তে
নৌবহর নৌ+বহর
নৌপরিবহনমন্ত্রীর নৌ+পরি+বহন+মন্ত্রী+র
নাস্তানাবুদ নাস্তানাবুদ
নাগ নাগ
নালার নালা+র
নামেনি নাম+ে+নি
নামের নাম+ের
নারীদের নারী+দের
নাটকে নাটক+ে
নাটমণ্ডল নাট+মণ্ডল
নাট্যদল নাট্য+দল
নাট্যমেলা নাট্য+মেলা
নেসা নেসা
নেতাও নেতা+ও
নেতৃত্ব নেতৃ+ত্ব
নেত্রীরা নেত্রী+রা
নেগোসিয়েশন নেগোসিয়েশন
নেই নেই
নেওয়াটাও নেওয়া+টা+ও
নেওয়ায় নেওয়া+য়
নষ্ট নষ্ট
নিধন নিধন
নিষ্পত্তির নিষ্পত্তি+র
নিজে নিজ+ে
নিজেকে নিজ+ে+কে
নিত নিত
নিতে নিত+ে
নিদ্রায় নিদ্রা+য়
নিকেতন নিকেতন
নিম্নমানের নিম্ন+মান+ের
নিন্দা নিন্দা
নিপীড়িতের নি+পীড়িত+ের
নিরাপত্তাবলয় নিরাপত্তা+বলয়
নিরাপত্তাহানির নিরাপত্তা+হানি+র
নিরাপত্তারক্ষী নিরাপত্তা+রক্ষ+ী
নিরাপদেই নিরাপদ+ে+ই
নির্বাচনী নির্বাচন+ী
নির্যাতন নির্যাতন
নির্যাতনসহ নির্যাতন+সহ
নির্মাণ নির্মাণ
নির্মাতারা নির্মাতা+রা
নিশর্ত নি+শর্ত
নিশর্তভাবে নি+শর্ত+ভাব+ে
নিশ্বাস নি+শ্বাস
নিশ্চয়ই নিশ্চয়+ই
নিয়ম নিয়ম
নিয়ন্ত্রণ নিয়ন্ত্রণ
নজরদারিও নজর+দারি+ও
নবাবচর নবাব+চর
নবায়নের নবায়ন+ের
নবকুমার নব+কুমার
নকলমুক্ত নকল+মুক্ত
নলগোলা নল+গোলা
নমুনায় নমুনা+য়
নন্দীপাড়ায় নন্দী+পাড়া+য়
নরহত্যার নর+হত্যা+র
নরক নরক
নড়াচড়ার নড়া+চড়া+র
ওভার ওভার
ওষুধনীতির ওষুধ+নীতি+র
ওল্টালে ওল্টা+লে
ওপরতলায় ওপর+তল+া+য়
ওপরও ওপর+ও
ওঠাই ওঠ+া+ই
ওঠারও ওঠ+া+র+ও
ওয়াকওভারও ওয়াক+ওভার+ও
পঁাচবার পঁাচ+বার
পঁুজিবাজারে পঁুজি+বাজার+ে
পঁুটলি পঁুট+লি
পীরগাছার পীর+গাছ+ার
পৌঁছার পৌঁছ+ার
পৌঁছবে পৌঁছ+বে, পৌঁছ+ব+ে
পৌরবাসীকে পৌর+বাস+ী+কে
পাঁচ পাঁচ
পাখিবাস পাখি+বাস
পাস পাস
পাসপোর্টধারী পাসপোর্ট+ধার+ী
পাতলা পাতলা
পাঞ্জাবি পাঞ্জাব+ি
পাবগুলোর পাব+গুলো+র
পাচারকে পাচার+কে
পাহাড়ছড়া পাহাড়+ছড়া
পাই পাই
পালা পালা
পানীয় পান+ীয়
পানি পানি, পান+ি
পানগাছ পান+গাছ
পাওনা পাওনা
পাওনাটা পাওনা+টা
পাওয়ারকে পাওয়ার+কে
পাপ পাপ
পারছি পার+ছ+ি, পার+ছি
পারেই পার+ে+ই
পারদর্শী পারদর্শী
পাঠানোটা পাঠা+নো+টা
পাড়াগঁায়ে পাড়া+গঁা+য়ে
পাড়ের পাড়+ের
পেঁৗছাতেই পেঁৗছ+া+তে+ই
পেঁয়াজসহ পেঁয়াজ+সহ
পেছনে পেছন+ে
পেইন্টিং পেইন্ট+িং
পেনাল্টিকে পেনাল্টি+কে
পেশাতেই পেশা+তে+ই
পেশার পেশা+র
পেটের পেট+ের
পিছুটান পিছু+টান
পিছল পিছল
পিজাকে পিজা+কে
পিসি পিসি
পিতা পিতা
পিতৃপুরুষের পিতৃ+পুরুষ+ের
পিওন পিওন
পিয়া পিয়া
পৃষ্ঠা পৃষ্ঠা
পৃষ্ঠপোষকতায় পৃষ্ঠ+পোষ+ক+তা+য়
পৃথককরণে পৃথক+করণ+ে
পত্তন পত্তন
পত্র পত্র
পুঁজিটাও পুঁজি+টা+ও
পুতে পুতে
পুতুলনাচের পুতুল+নাচ+ের
পুকুরটিও পুকুর+টি+ও
পুলিশপ্রধান পুলিশ+প্রধান
পুনঃউদ্বুদ্ধকরণ পুনঃ+উদ্বুদ্ধ+করণ
পুনচ পুনচ
পুনর্জন্ম পুনর্+জন্ম
পূজা পূজা
পঞ্চম পঞ্চ+ম
পদমর্যাদার পদ+মর্যাদা+র
পদপ্রার্থী পদ+প্রার্থী
পদ্ধতি পদ্ধতি
পদ্মা পদ্মা
পদ্মপুকুরে পদ্ম+পুকুর+ে
পথচলা পথ+চলা
পথপ্রদর্শকও পথ+প্রদর্শক+ও
পক্ষ পক্ষ
পক্ষের পক্ষ+ের
পলিপাড়া পলি+পাড়া
পলিটিক্সের পলিটিক্স+ের
পল্লীতে পল্লী+তে
পল্লবিত পল্লব+িত
পরাজয়ের পরা+জয়+ের
পরাস্ত পরাস্ত
পরিধান পরিধান
পরিস্রুত পরি+স্রুত
পরিবারকে পরিবার+কে
পরিবেশিত পরিবেশ+িত
পরিবেশনাকে পরিবেশ+না+কে
পরিবর্তনে পরিবর্তন+ে
পরিচালকমণ্ডলীর পরি+চালক+মণ্ডলী+র
পরিচ্ছন্ন পরি+চ্ছন্ন
পরিদর্শনসহ পরি+দর্শন+সহ
পরিমার্জন পরি+মার্জন
পরিপূর্ণতা পরি+পূর্ণ+তা
পরম্পরার পরম্পরা+র
পরও পর+ও
পররাষ্ট্রমন্ত্রীদের পর+রাষ্ট্র+মন্ত্রী+দের
পরশ্রীকাতরতা পর+শ্রী+কাতর+তা
পর্ব পর্ব
পর্বেই পর্ব+ে+ই
পর্যবেক্ষণকে পর্যবেক্ষণ+কে
পর্যটকশূন্য পর্যটক+শূন্য
পশু পশু
পশ্চিম পশ্চিম
পশ্চিমবঙ্গ পশ্চিম+বঙ্গ
পট্টির পট্টি+র
পড়াশোনা পড়+া+শোন+া
প্ল্যাটফরমে প্ল্যাটফরম+ে
প্রাধ্যক্ষদের প্রাধ্যক্ষ+দের
প্রাচীর প্রাচীর
প্রাক প্রাক
প্রাক্তন প্রাক্তন
প্রাঙ্গণ প্রাঙ্গণ
প্রাঙ্গণে প্রাঙ্গণ+ে
প্রভাবও প্রভাব+ও
প্রধানমন্ত্রীকে প্রধান+মন্ত্রী+কে
প্রেসকে প্রেস+কে
প্রিয় প্রিয়
প্রোডাক্ট প্রোডাক্ট
প্রসঙ্গে প্রসঙ্গ+ে
প্রস্তুত প্রস্তুত
প্রতীয়মান প্রতীয়+মান
প্রতাপের প্রতাপ+ের
প্রতারণার প্রতারণ+া+র
প্রতিস্থাপন প্রতি+স্থাপন
প্রতিবাদী প্রতিবাদ+ী
প্রতিবাদের প্রতিবাদ+ের
প্রতিবেদককে প্রতিবেদক+কে
প্রতিবেদনটিও প্রতিবেদন+টি+ও
প্রতিবন্ধীরা প্রতি+বন্ধ+ী+রা
প্রতিবন্ধকতা প্রতি+বন্ধ+ক+তা
প্রতিদিন প্রতি+দিন
প্রতিনিধি প্রতিনিধি
প্রতিপক্ষ প্রতি+পক্ষ
প্রতিপক্ষদের প্রতি+পক্ষ+দের
প্রতিরোধের প্রতি+রোধ+ের
প্রতিশোধও প্রতি+শোধ+ও
প্রতিশব্দ প্রতি+শব্দ
প্রত্যাহারেরও প্রত্যাহার+ের+ও
প্রত্যেকটির প্রত্যেক+টি+র
প্রত্যক্ষভাবে প্রত্যক্ষ+ভাব+ে
প্রত্যক্ষদর্শীর প্রত্যক্ষ+দর্শ+ী+র
প্রবীণ প্রবীণ
প্রবেশ প্রবেশ
প্রবেশমূল্য প্রবেশ+মূল্য
প্রবর্তনেরই প্রবর্তন+ের+ই
প্রচুর প্রচুর
প্রচ্ছদে প্রচ্ছদ+ে
প্রদান প্রদান
প্রদানকারীকে প্রদান+কার+ী+কে
প্রথমসারিতে প্রথম+সারি+তে
প্রহরীটি প্রহরী+টি
প্রযোজ্য প্রযোজ্য
প্রকাশনা প্রকাশ+ন+া
প্রক্রিয়াটি প্রক্রিয়া+টি
প্রমাণে প্রমাণ+ে
প্রমাণটা প্রমাণ+টা
প্রশিক্ষণে প্র+শিক্ষণ+ে
প্রশিক্ষণের প্র+শিক্ষণ+ের
প্রশিক্ষণপ্রাপ্ত প্র+শিক্ষণ+প্রাপ্ত
প্রশস্তকরণে প্রশস্ত+করণ+ে
প্রশমনেও প্রশমন+ে+ও
প্রয়াণ প্রয়াণ
রীতি রীতি
রাষ্ট্রধর্ম রাষ্ট্র+ধর্ম
রাষ্ট্রব্যবস্থার রাষ্ট্র+ব্যবস্থা+র
রাজনীতিসচেতন রাজনীতি+সচেতন
রাখছে রাখ+ছ+ে, রাখ+ছে
রাখে রাখ+ে
রাখেন রাখ+ে+ন
রাস্তাঘাট রাস্তা+ঘাট
রাগত রাগত
রান রান
রেখা রেখা
রেকর্ডটাকে রেকর্ড+টা+কে
রেলস্টেশনে রেল+স্টেশন+ে
রেলওয়ের রেল+ওয়ে+র
রেশনিং রেশন+িং
রঘুনন্দন রঘু+নন্দন
রিপোর্টেও রিপোর্ট+ে+ও
রজতজয়ন্তী রজত+জয়ন্তী
রোববার রোব+বার
রোদন রোদ+ন
রোগে রোগ+ে
রফা রফা
রচনাসম্ভার রচনা+সম্ভার
রচনার রচনা+র
রহস্যময় রহস্য+ময়
রক্ষা রক্ষা
রশিতে রশি+তে
শীতাতপনিয়ন্ত্রণ শীতাতপ+নিয়ন্ত্রণ
শীর্ষ শীর্ষ
শাসকদল শাসক+দল
শাসন শাসন
শান্তিপূর্ণ শান্ত+ি+পূর্ণ
শাড়িটির শাড়ি+টি+র
শেভ শেভ
শেষে শেষ+ে
শিখাটাকেও শিখা+টা+কে+ও
শিখে শিখ+ে
শিকল শিকল
শিক্ষাক্রম শিক্ষা+ক্রম
শিক্ষাপ্রতিষ্ঠানসমূহে শিক্ষা+প্রতিষ্ঠান+সমূহ+ে
শিক্ষিকা শিক্ষিকা
শিক্ষকও শিক্ষক+ও
শিপিংয়ের শিপ+িং+য়ের
শিশুসুলভ শিশু+সুলভ
শিশুপুত্রসহ শিশু+পুত্র+সহ
শিশুটিকে শিশু+টি+কে
শিশুটির শিশু+টি+র
শোধরাতে শোধরা+তে
শোরুমের শো+রুম+ের
শোরগোল শোর+গোল
শৃঙ্খলাপরিপন্থী শৃঙ্খলা+পরি+পন্থী
শতকোটি শত+কোটি
শুধু শুধু
শুষ্ক শুষ্ক
শুতে শু+তে
শুকরিয়া শুকরিয়া
শুল্ক শুল্ক
শুনানিতে শুনানি+তে
শুনানিকালে শুনানি+কাল+ে
শুনেন শুন+ে+ন
শুন্য শুন্য
শূন্যের শূন্য+ের
শহরগুলোয় শহর+গুলো+য়
শহরটিতে শহর+টি+তে
শপিং শপ+িং
শরীরই শরীর+ই
শরণার্থীর শরণার্থী+র
শরতের শরত+ের
শ্যামা শ্যাম+া
শ্লীলতাহানী শ্লীল+তা+হানী
শ্রদ্ধার শ্রদ্ধা+র
শ্রদ্ধাশীল শ্রদ্ধা+শীল
শ্রমঘণ্টা শ্রম+ঘণ্টা
টাইব্রেকের টাই+ব্রেক+ের
টাইগারের টাইগার+ের
টাকা টাকা
টাকাতে  টাকা+তে
টানতেই টান+তে+ই
টাওয়ারের টাওয়ার+ের
টার্গেট টার্গেট
টার্নে টার্ন+ে
টার্নিংয়ের টার্ন+িং+য়ের
টেকনিকেও টেকনিক+ে+ও
টেলিভিশনের টেলিভিশন+ের
টেলিফিল্ম টেলি+ফিল্ম
টেলিযোগাযোগ টেলি+যোগাযোগ
টেনিস টেনিস
টিনের টিন+ের
টিনশেড টিন+শেড
টুতে টু+তে
টু্যরিস্ট টু্যর+িস্ট
টগবগেই টগবগ+ে+ই
টর্নেডোর টর্নেডো+র
ট্যাক্স ট্যাক্স
ট্যাঙ্কারে ট্যাঙ্ক+ার+ে
ট্রেন ট্রেন
উধাও উধাও
উষ্না উষ্না
উত্সাহব্যঞ্জক উত্সাহ+ব্যঞ্জক
উত্তীর্ণসহ উত্তীর্ণ+সহ
উত্তেজনাও উত্তেজনা+ও
উত্তোলনের উত্তোলন+ের
উত্তরসূরিকে উত্তর+সূরি+কে
উত্তরবঙ্গনির্ভর উত্তর+বঙ্গ+নির্ভর
উত্তরটাকেও উত্তর+টা+কে+ও
উত্থাপন উত্থাপন
উত্থিত উত্থিত
উত্কণ্ঠা উত্কণ্ঠা
উত্কণ্ঠার উত্কণ্ঠা+র
উচিত উচিত
উচ্চারণ উচ্চারণ
উচ্চমহলে উচ্চ+মহল+ে
উহ্য উহ্য
উইকেট উইকেট
উনাকে উনা+কে
